"Path","Reason","Size"
"data\experiments\fast_mode\short_queue_logs\random1_repeat03.log","excluded","10454"
"data\experiments\fast_mode\short_queue_logs\random1_ro_freq_fixed_run04_5mib.log","excluded","9926"
"data\experiments\fast_mode\short_queue_logs\random3_repeat03.log","excluded","10678"
"data\experiments\fast_mode\short_queue_logs\random3_ro_freq_fixed_run04_5mib.log","excluded","4288"
"data\experiments\fast_mode\short_queue_logs\random3_ro_freq_fixed_run04_5mib_retry.log","excluded","6536"
"data\experiments\fast_mode\short_queue_logs\random3_ro_freq_fixed_run04_5mib_retry2.log","excluded","9434"
"data\experiments\fast_mode\tdc_pair_logs\tdc_pair_random1_ro0_ro1_run01_2mib.log","excluded","11950"
"data\experiments\fast_mode\tdc_pair_logs\tdc_pair_random1_ro2_ro4_run01_2mib.log","excluded","11510"
"data\experiments\fast_mode\tdc_pair_logs\tdc_pair_random1_ro4_ro5_run01_2mib.log","excluded","11950"
"data\experiments\fast_mode\tdc_pair_logs\tdc_pair_random3_ro0_ro6_run01_2mib.log","excluded","1148"
"data\experiments\fast_mode\tdc_pair_logs\tdc_pair_random3_ro3_ro5_run01_2mib.log","excluded","4258"
"data\experiments\fast_mode\tdc_pair_logs\tdc_pair_random3_ro3_ro7_run01_2mib.log","excluded","11950"
"data\experiments\fast_mode\tdc_pair_remaining_logs\tdc_pair_random3_ro3_ro5_run01_2mib.log","excluded","1148"
"data\experiments\fast_mode\tdc_pairs_repeat02_20260523_stderr.log","excluded","0"
"data\experiments\fast_mode\tdc_pairs_repeat02_20260523_stdout.log","excluded","4832"
"data\experiments\fast_mode\tdc_pairs_repeat02_logs_20260523\tdc_pair_random1_ro0_ro1_repeat02_2mib.log","excluded","3850"
"data\experiments\fast_mode\tdc_pairs_repeat02_logs_20260523\tdc_pair_random1_ro2_ro4_repeat02_2mib.log","excluded","1148"
"data\experiments\fast_mode\tdc_pairs_repeat02_logs_20260523\tdc_pair_random1_ro4_ro5_repeat02_2mib.log","excluded","3850"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_20260523_stderr.log","excluded","0"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_20260523_stdout.log","excluded","71815"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_logs_20260523\tdc_pair_random1_ro0_ro1_repeat02_2mib.log","excluded","24184"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_logs_20260523\tdc_pair_random1_ro2_ro4_repeat02_2mib.log","excluded","23746"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_logs_20260523\tdc_pair_random1_ro4_ro5_repeat02_2mib.log","excluded","24402"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_logs_20260523\tdc_pair_random3_ro0_ro6_repeat02_2mib.log","excluded","23088"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_logs_20260523\tdc_pair_random3_ro3_ro5_repeat02_2mib.log","excluded","23086"
"data\experiments\fast_mode\tdc_pairs_repeat02_retry_logs_20260523\tdc_pair_random3_ro3_ro7_repeat02_2mib.log","excluded","23310"
"data\experiments\fast_mode\tdc_reset_aligned_smoke_logs_20260523\tdc_reset_random1_baseline_ro0_smoke_warmup0.log","excluded","14988"
"data\experiments\fast_mode\tdc_reset_aligned_smoke_logs_20260523\tdc_reset_random1_sampler_local_ro0_smoke_warmup12.log","excluded","15024"
"data\experiments\fast_mode\tdc_reset_enable_matrix_logs_20260524\tdc_reset_enable_random1_baseline_ro0.log","excluded","11858"
"data\experiments\fast_mode\tdc_reset_enable_matrix_logs_20260524\tdc_reset_enable_random1_sampler_local_ro0.log","excluded","12008"
"data\experiments\fast_mode\tdc_reset_enable_matrix_logs_20260524\tdc_reset_enable_random3_goodref_ro0.log","excluded","11828"
"data\experiments\fast_mode\tdc_reset_enable_matrix_repeat02_logs_20260524\tdc_reset_enable_random1_baseline_ro0_repeat02.log","excluded","12532"
"data\experiments\fast_mode\tdc_reset_enable_matrix_repeat02_logs_20260524\tdc_reset_enable_random1_sampler_local_ro0_repeat02.log","excluded","12458"
"data\experiments\fast_mode\tdc_reset_enable_matrix_repeat02_logs_20260524\tdc_reset_enable_random3_goodref_ro0_repeat02.log","excluded","12502"
"data\experiments\fast_mode\tdc_reset_enable_random3_ro3_20260524_stdout.log","excluded","25130"
"data\experiments\fast_mode\tdc_reset_enable_random3_ro3_logs_20260524\tdc_reset_enable_random3_goodref_ro3.log","excluded","11828"
"data\experiments\fast_mode\tdc_reset_enable_random3_ro3_logs_20260524\tdc_reset_enable_random3_goodref_ro3_repeat02.log","excluded","11840"
"data\experiments\fast_mode\tdc_reset_enable_ro4_20260524_stdout.log","excluded","25756"
"data\experiments\fast_mode\tdc_reset_enable_ro4_logs_20260524\tdc_reset_enable_random1_baseline_ro4.log","excluded","12074"
"data\experiments\fast_mode\tdc_reset_enable_ro4_logs_20260524\tdc_reset_enable_random1_sampler_local_ro4.log","excluded","12224"
"data\experiments\fast_mode\tdc_reset_enable_ro4_repeat02_20260524_stdout.log","excluded","26260"
"data\experiments\fast_mode\tdc_reset_enable_ro4_repeat02_logs_20260524\tdc_reset_enable_random1_baseline_ro4_repeat02.log","excluded","12308"
"data\experiments\fast_mode\tdc_reset_enable_ro4_repeat02_logs_20260524\tdc_reset_enable_random1_sampler_local_ro4_repeat02.log","excluded","12458"
"data\experiments\fast_mode\tdc_sampler_data_logs_20260523\tdc_sampler_data_random1_baseline_sample_x36y35_ro0_2mib.log","excluded","27054"
"data\experiments\fast_mode\tdc_sampler_data_logs_20260523\tdc_sampler_data_random1_baseline_sample_x36y35_ro4_2mib.log","excluded","24234"
"data\experiments\fast_mode\tdc_sampler_data_logs_20260523\tdc_sampler_data_random1_local_sample_x45y39_ro0_2mib.log","excluded","23930"
"data\experiments\fast_mode\tdc_sampler_data_logs_20260523\tdc_sampler_data_random1_local_sample_x45y39_ro4_2mib.log","excluded","23708"
"data\experiments\fast_mode\tdc_sampler_data_logs_20260523\tdc_sampler_data_random3_sample_x36y35_ro0_2mib.log","excluded","23526"
"data\experiments\fast_mode\tdc_sampler_data_logs_20260523\tdc_sampler_data_random3_sample_x36y35_ro3_2mib.log","excluded","23750"
"data\experiments\fast_mode\tdc_sampler_data_queue_20260523_stderr.log","excluded","0"
"data\experiments\fast_mode\tdc_sampler_data_queue_20260523_stdout.log","excluded","60573"
"data\experiments\fast_mode\tdc_uart_header_debug_logs_20260523\tdc_uart_header_debug_repeat8.log","excluded","15032"
"data\experiments\restart_fifo_diag_20260524\build_compact_sample_ro_formal_locked_warmup4_1000x125.log","excluded","239382"
"data\experiments\restart_fifo_diag_20260524\build_formal_auto_retest_warmup4_1000x125_20260524.log","excluded","235880"
"data\experiments\restart_fifo_diag_20260524\build_warmup10_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260524\build_warmup10_stdout.log","excluded","156080"
"data\experiments\restart_fifo_diag_20260524\build_warmup11_compact_1000x125_stdout.log","excluded","238344"
"data\experiments\restart_fifo_diag_20260524\build_warmup4_compact_1000x125_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260524\build_warmup4_compact_1000x125_stdout.log","excluded","118665"
"data\experiments\restart_fifo_diag_20260524\build_warmup4_v3fast_1000x125_stderr.log","excluded","1498"
"data\experiments\restart_fifo_diag_20260524\build_warmup4_v3fast_1000x125_stdout.log","excluded","126127"
"data\experiments\restart_fifo_diag_20260524\build_warmup4_v3fast_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260524\build_warmup4_v3fast_stdout.log","excluded","156337"
"data\experiments\restart_fifo_diag_20260524\build_warmup5_compact_1000x125_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260524\build_warmup5_compact_1000x125_stdout.log","excluded","118688"
"data\experiments\restart_fifo_diag_20260524\build_warmup5_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260524\build_warmup5_stdout.log","excluded","155873"
"data\experiments\restart_fifo_diag_20260524\capture_warmup4_compact_1000x125_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260524\capture_warmup4_compact_1000x125_stdout.log","excluded","4907"
"data\experiments\restart_fifo_diag_20260524\capture_warmup4_v3fast_no_xadc_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260524\capture_warmup4_v3fast_no_xadc_stdout.log","excluded","4911"
"data\experiments\restart_fifo_diag_20260524\dump_routed_cells_20260524.log","excluded","14650"
"data\experiments\restart_fifo_diag_20260524\fifo_diag_queue_stderr.log","excluded","368"
"data\experiments\restart_fifo_diag_20260524\fifo_diag_queue_stdout.log","excluded","35010"
"data\experiments\restart_fifo_diag_20260524\manual_warmup4_capture_no_xadc_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260524\manual_warmup4_capture_no_xadc_stdout.log","excluded","4846"
"data\experiments\restart_fifo_diag_20260524\manual_warmup4_capture_stderr.log","excluded","583"
"data\experiments\restart_fifo_diag_20260524\manual_warmup4_capture_stdout.log","excluded","7389"
"data\experiments\restart_fifo_diag_20260524\manual_warmup5_capture_no_xadc_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260524\manual_warmup5_capture_no_xadc_stdout.log","excluded","4846"
"data\experiments\restart_fifo_diag_20260524\queue_logs\regs_only_warmup4_1000x32_build.log","excluded","69608"
"data\experiments\restart_fifo_diag_20260524\random1_sampler_regs_only_restart_auto_formal_1000x125_warmup4_retest01_20260524.packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260524\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run01_no_xadc.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260524\restart_fifo_compact_diag_regs_only_warmup11_1000x125_run01_no_xadc.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260524\restart_fifo_compact_diag_regs_only_warmup4_1000x125_run01_no_xadc.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260524\restart_fifo_compact_diag_regs_only_warmup5_1000x125_run01_no_xadc.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260524\restart_fifo_diag_regs_only_warmup4_1000x32_run02_no_xadc.send_packed.bin","excluded","32000"
"data\experiments\restart_fifo_diag_20260524\restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc.send_packed.bin","excluded","32000"
"data\experiments\restart_fifo_diag_20260524\restart_fifo_diag_v3fastwarmup_regs_only_warmup4_1000x32_run01_no_xadc.send_packed.bin","excluded","32000"
"data\experiments\restart_fifo_diag_20260524\smoke_run01_fixed_decode.send_packed.bin","excluded","512"
"data\experiments\restart_fifo_diag_20260525\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat03_no_xadc_20260525.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.send_packed.bin","excluded","125000"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_build.log","excluded","119359"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_build_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525_analysis.log","excluded","458"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525_capture.log","excluded","7870"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525_capture_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525_columns.log","excluded","484"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_build.log","excluded","119264"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_build_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat02_20260525_capture.log","excluded","7523"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat02_20260525_capture_stderr.log","excluded","583"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat03_no_xadc_20260525_capture.log","excluded","5084"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat03_no_xadc_20260525_capture_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run02_20260525_capture.log","excluded","7715"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run02_20260525_capture_stderr.log","excluded","583"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4511_1000x125_build.log","excluded","119810"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4511_1000x125_build_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4511_1000x125_run01_20260525_capture.log","excluded","7831"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4511_1000x125_run01_20260525_capture_stderr.log","excluded","583"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_build.log","excluded","120281"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_build_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525_analysis.log","excluded","456"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525_capture.log","excluded","7975"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525_capture_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525_columns.log","excluded","480"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.analysis.log","excluded","456"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.capture.log","excluded","15918"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_logs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.columns.log","excluded","480"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_passband_queue_20260525_retry_stderr.log","excluded","1080"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_passband_queue_20260525_retry_stdout.log","excluded","598"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_passband_queue_20260525_stderr.log","excluded","1080"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_passband_queue_20260525_stdout.log","excluded","592"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_passband_queue_w5_w11_afterxadc_20260525_stderr.log","excluded","0"
"data\experiments\restart_fifo_diag_20260525\sample_ro_locked_passband_queue_w5_w11_afterxadc_20260525_stdout.log","excluded","2886"
"data\experiments\restart_fifo_diag_20260525\sample_ro_reverse_logs\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_build.log","excluded","118955"
"data\experiments\restart_fifo_diag_20260525\sample_ro_reverse_logs\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_build_stderr.log","excluded","48"
"data\experiments\restart_fifo_diag_20260525\sample_ro_reverse_logs\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525_capture.log","excluded","4504"
"data\experiments\restart_fifo_diag_20260525\sample_ro_reverse_logs\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525_capture_stderr.log","excluded","583"
"data\experiments\restart_fifo_diag_20260525\sample_ro_reverse_logs\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525.capture.log","excluded","17282"
"data\experiments\restart_fifo_diag_20260525\sample_ro_reverse_logs\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525.columns.log","excluded","476"
"data\experiments\restart_fifo_diag_20260525\sample_ro_reverse_logs\restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525.profile.log","excluded","336"
"data\experiments\restart_reduced_xor_strict_20260526\bit_symbols\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.lsb.bits.bin","excluded","1000000"
"data\experiments\restart_reduced_xor_strict_20260526\bit_symbols\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.lsb.bits.bin.metadata.json","excluded","1177"
"data\experiments\restart_reduced_xor_strict_20260526\bit_symbols\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.msb.bits.bin","excluded","1000000"
"data\experiments\restart_reduced_xor_strict_20260526\bit_symbols\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.msb.bits.bin.metadata.json","excluded","1177"
"data\experiments\restart_reduced_xor_strict_20260526\logs\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.capture.log","excluded","10008"
"data\experiments\restart_reduced_xor_strict_20260526\logs\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.xadc_after.log","excluded","5778"
"data\experiments\restart_reduced_xor_strict_20260526\payloads\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload.bin","excluded","125000"
"data\experiments\restart_reduced_xor_w10_direction_map_20260526\bit_symbols\restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.lsb.bits.bin","excluded","1000000"
